Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-12-13,169.65,9754901,168.0,170.43,166.33,,,2024-12,-0.07727674624226356
2024-12-12,167.75,10617740,168.23,168.82,165.6501,-0.011199528440907769,,2024-12,-0.07727674624226356
2024-12-11,165.96,13116630,165.52,169.3,164.381,-0.010670640834575251,,2024-12,-0.07727674624226356
2024-12-10,164.1,17149190,160.0,166.68,159.42,-0.01120751988430957,,2024-12,-0.07727674624226356
2024-12-09,157.04,13540020,154.27,161.95,154.27,-0.04302254722730048,,2024-12,-0.07727674624226356
2024-12-06,153.93,8182668,157.03,158.9533,153.37,-0.019803871625063585,-0.09266136162687888,2024-12,-0.07727674624226356
2024-12-05,156.67,7119832,158.5,160.02,156.0475,0.017800298837133743,-0.0660506706408347,2024-12,-0.07727674624226356
2024-12-04,158.28,9269316,155.88,160.2,154.21,0.010276377098359601,-0.0462762111352133,2024-12,-0.07727674624226356
2024-12-03,155.0,6130313,156.0,156.6486,154.42,-0.02072276977508214,-0.055453991468616626,2024-12,-0.07727674624226356
2024-12-02,156.54,10097910,155.91,160.35,155.7,0.009935483870967765,-0.003183902190524668,2024-12,-0.07727674624226356
2024-11-29,155.44,7100090,153.0,157.5025,152.85,-0.007026957966015046,0.009809653738712232,2024-11,-0.005468347915594405
2024-11-27,152.4,5210147,151.11,152.91,150.25,-0.019557385486361212,-0.027254739260866634,2024-11,-0.005468347915594405
2024-11-26,150.76,8234985,152.5,153.1398,149.8,-0.010761154855643107,-0.04751074045994441,2024-11,-0.005468347915594405
2024-11-25,153.1,11479410,150.7,153.28,150.26,0.015521358450517386,-0.012258064516129097,2024-11,-0.005468347915594405
2024-11-22,149.29,13353080,143.61,150.339,143.49,-0.024885695623775295,-0.04631404113964477,2024-11,-0.005468347915594405
2024-11-21,143.41,7845135,146.39,146.42,141.34,-0.03938642909772927,-0.07739320638188374,2024-11,-0.005468347915594405
2024-11-20,146.08,9232114,146.04,147.3,145.0201,0.01861794853915355,-0.041469816272965865,2024-11,-0.005468347915594405
2024-11-19,145.6,8247289,143.0,145.99,142.6901,-0.0032858707557503752,-0.034226585301140866,2024-11,-0.005468347915594405
2024-11-18,143.87,12259930,140.255,144.69,138.2,-0.01188186813186809,-0.06028739386022197,2024-11,-0.005468347915594405
2024-11-15,140.19,12120100,138.14,140.3247,137.03,-0.025578647390004927,-0.06095518788934284,2024-11,-0.005468347915594405
2024-11-14,138.14,15646710,140.8,141.55,137.22,-0.014623011627077576,-0.03674778606791729,2024-11,-0.005468347915594405
2024-11-13,139.97,21249600,145.58,145.58,139.1,0.013247430143332961,-0.04182639649507125,2024-11,-0.005468347915594405
2024-11-12,145.17,16746650,148.4,148.5,143.85,0.03715081803243536,-0.002953296703296804,2024-11,-0.005468347915594405
2024-11-11,148.96,12799080,152.0,152.5,148.07,0.02610732244954206,0.035379161743240406,2024-11,-0.005468347915594405
2024-11-08,151.68,12996810,151.12,152.6,149.43,0.018259935553168738,0.08196019687566891,2024-11,-0.005468347915594405
2024-11-07,150.98,14709240,148.8,152.8,148.03,-0.004614978902953704,0.09294918198928626,2024-11,-0.005468347915594405
2024-11-06,147.16,28069290,152.3,153.2,144.13,-0.025301364419128336,0.0513681503179253,2024-11,-0.005468347915594405
2024-11-05,151.0,23126640,157.47,157.66,150.65,0.02609404729546072,0.040159812633464353,2024-11,-0.005468347915594405
2024-11-04,155.07,10290390,154.62,156.72,152.46,0.026953642384105914,0.04101772287862504,2024-11,-0.005468347915594405
2024-11-01,154.59,18894510,152.78,156.0,151.23,-0.0030953762816792185,0.019185126582278444,2024-11,-0.005468347915594405
2024-10-31,149.31,29388200,154.31,154.48,147.88,-0.03415486124587619,-0.011061067691084836,2024-10,0.03288460250485565
2024-10-30,154.29,50738360,152.51,156.91,152.51,0.033353425758488875,0.048450665941832005,2024-10,0.03288460250485565
2024-10-29,152.98,66387680,147.86,155.99,147.58,-0.008490504893382655,0.013112582781456883,2024-10,0.03288460250485565
2024-10-28,150.69,20992480,153.5,155.2,150.61,-0.014969277029676986,-0.028245308570323036,2024-10,0.03288460250485565
2024-10-25,155.01,8152969,156.2,157.48,154.5202,0.028668126617559242,0.002716863962740179,2024-10,0.03288460250485565
2024-10-24,155.2,9774355,152.61,155.89,151.98,0.001225727372427654,0.03944812805572284,2024-10,0.03288460250485565
2024-10-23,157.06,15931490,160.0,161.4725,153.53,0.011984536082474406,0.017953205003564676,2024-10,0.03288460250485565
2024-10-22,159.88,7380826,160.5,160.66,158.37,0.017954921685979786,0.04510393515492228,2024-10,0.03288460250485565
2024-10-21,159.82,13277550,160.25,163.44,158.36,-0.0003752814610958888,0.06058796204127681,2024-10,0.03288460250485565
2024-10-18,155.0,6030173,155.84,156.37,153.9,-0.030158928794894235,-6.451196696977135e-05,2024-10,0.03288460250485565
2024-10-17,155.31,6291759,155.0,157.14,154.25,0.0020000000000000018,0.0007087628865980466,2024-10,0.03288460250485565
2024-10-16,154.9,8356210,151.91,154.99,151.34,-0.0026398815272680176,-0.013752705972239876,2024-10,0.03288460250485565
2024-10-15,152.35,11241670,150.5,153.95,148.55,-0.016462233699160778,-0.04709782336752566,2024-10,0.03288460250485565
