Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-12-13,189.82,25143500,191.01,192.73,189.64,,,2024-12,-0.096565167000316
2024-12-12,191.96,34817490,195.0,195.18,191.71,0.011273838373195844,,2024-12,-0.096565167000316
2024-12-11,195.4,67894070,185.31,195.61,184.85,0.017920400083350607,,2024-12,-0.096565167000316
2024-12-10,185.17,54813020,182.845,186.36,181.05,-0.052354145342886516,,2024-12,-0.096565167000316
2024-12-09,175.37,25389630,173.96,176.26,173.65,-0.052924339795863196,,2024-12,-0.096565167000316
2024-12-06,174.71,21462390,172.03,175.08,171.86,-0.003763471517363226,-0.0796017279527973,2024-12,-0.096565167000316
2024-12-05,172.64,21356240,175.36,176.06,172.33,-0.011848205597847938,-0.10064596790998137,2024-12,-0.096565167000316
2024-12-04,174.37,31615140,171.145,174.91,171.06,0.010020852641334566,-0.10762538382804498,2024-12,-0.096565167000316
2024-12-03,171.34,22248710,171.49,172.68,170.85,-0.01737684234673398,-0.07468812442620287,2024-12,-0.096565167000316
2024-12-02,171.49,23789080,168.765,172.075,168.57,0.0008754523170304562,-0.022124650738438723,2024-12,-0.096565167000316
2024-11-29,168.95,14257240,168.5,169.43,167.16,-0.014811359262930868,-0.03296891992444628,2024-11,0.013850251553714138
2024-11-27,169.23,19266510,169.0,169.4832,168.02,0.0016572950577093959,-0.019752085264133412,2024-11,0.013850251553714138
2024-11-26,169.12,20486720,167.63,169.82,167.58,-0.0006500029545587482,-0.0301083902047371,2024-11,0.013850251553714138
2024-11-25,167.65,33135260,166.09,168.63,165.6072,-0.008692052980132425,-0.021536126998949467,2024-11,0.013850251553714138
2024-11-22,164.76,38604590,165.85,166.46,163.9,-0.017238294065016535,-0.03924427080296233,2024-11,0.013850251553714138
2024-11-21,167.63,59734380,173.9,174.13,163.7,0.017419276523428007,-0.00781296241491558,2024-11,0.013850251553714138
2024-11-20,175.98,18997110,177.34,177.675,173.78,0.04981208614209853,0.039886544938840585,2024-11,0.013850251553714138
2024-11-19,178.12,23434930,173.72,178.87,173.56,0.012160472780997855,0.053216650898770146,2024-11,0.013850251553714138
2024-11-18,175.3,20206610,173.42,175.438,172.9,-0.015832023355041525,0.04563077840739638,2024-11,0.013850251553714138
2024-11-15,172.49,32504650,173.73,174.14,171.22,-0.01602966343411294,0.04691672736101005,2024-11,0.013850251553714138
2024-11-14,175.58,31007460,178.28,178.82,174.3218,0.017914081975766827,0.04742587842271684,2024-11,0.013850251553714138
2024-11-13,178.88,23184000,180.46,180.96,178.54,0.01879485134981196,0.016479145357427116,2024-11,0.013850251553714138
2024-11-12,181.62,25134910,179.82,182.49,179.39,0.01531753130590352,0.019649674376824633,2024-11,0.013850251553714138
