Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-12-13,239.94,10392750,242.07,242.715,239.1437,,,2024-12,0.02629824122697342
2024-12-12,241.53,6113771,243.0,244.1,241.04,0.006626656664165953,,2024-12,0.02629824122697342
2024-12-11,243.53,7884442,244.0,244.27,242.18,0.008280544859851746,,2024-12,0.02629824122697342
2024-12-10,242.86,9108339,243.89,247.96,242.22,-0.0027512010840553547,,2024-12,0.02629824122697342
2024-12-09,243.81,7076466,247.13,247.8699,243.76,0.003911718685662535,,2024-12,0.02629824122697342
2024-12-06,247.36,5519738,245.7,247.74,244.84,0.014560518436487424,0.030924397766108225,2024-12,0.02629824122697342
2024-12-05,245.48,6572536,245.39,247.18,244.62,-0.007600258732212262,0.01635407609820727,2024-12,0.02629824122697342
2024-12-04,243.4,7346265,244.7,245.345,242.23,-0.00847319537233171,-0.0005338151357122678,2024-12,0.02629824122697342
2024-12-03,244.82,6657694,248.23,249.04,244.63,0.005834018077239156,0.008070493288314218,2024-12,0.02629824122697342
2024-12-02,246.25,8899741,249.55,250.25,245.03,0.005841026059962395,0.010007792953529382,2024-12,0.02629824122697342
2024-11-29,249.72,5494825,249.86,251.77,249.445,0.014091370558375615,0.009540750323415281,2024-11,-0.10724010892199264
2024-11-27,249.79,5472265,249.35,251.19,248.771,0.0002803139516258657,0.01755743848786051,2024-11,-0.10724010892199264
2024-11-26,249.97,6212142,250.49,251.0,248.34,0.0007206053084591879,0.02699260476581755,2024-11,-0.10724010892199264
2024-11-25,250.29,10295350,249.59,254.31,249.06,0.0012801536184341433,0.02234294583775842,2024-11,-0.10724010892199264
2024-11-22,248.55,7997307,243.61,249.15,243.0347,-0.006951935754524685,0.009340101522842703,2024-11,-0.10724010892199264
2024-11-21,244.76,8783516,243.23,245.49,242.105,-0.015248440957553844,-0.01986224571520101,2024-11,-0.10724010892199264
2024-11-20,240.78,9015290,244.4,244.61,238.64,-0.0162608269325053,-0.03607029905120296,2024-11,-0.10724010892199264
2024-11-19,243.09,6792660,242.25,245.1509,241.55,0.009593820084724758,-0.027523302796335525,2024-11,-0.10724010892199264
2024-11-18,245.03,9052575,247.76,247.93,242.68,0.007980583323049073,-0.021015621878620716,2024-11,-0.10724010892199264
2024-11-15,245.31,11518840,241.46,246.42,241.46,0.001142717218299838,-0.013035606517803333,2024-11,-0.10724010892199264
2024-11-14,241.87,10172200,242.415,244.29,241.05,-0.014023072846602203,-0.011807484883150754,2024-11,-0.10724010892199264
2024-11-13,241.16,11472560,240.58,244.09,240.31,-0.0029354611981643464,0.0015782041697816052,2024-11,-0.10724010892199264
2024-11-12,239.56,6860956,240.55,241.46,238.76,-0.006634599436059041,-0.014521370685754209,2024-11,-0.10724010892199264
2024-11-11,239.29,9017079,240.0,242.1,239.0,-0.0011270662881950333,-0.0234257029751459,2024-11,-0.10724010892199264
2024-11-08,236.98,9502100,239.34,239.34,235.78,-0.009653558443729393,-0.03395703395703398,2024-11,-0.10724010892199264
2024-11-07,236.38,16451070,244.5,244.57,235.22,-0.002531859228626865,-0.022698143630876078,2024-11,-0.10724010892199264
2024-11-06,247.06,23987750,235.0,248.0,234.77,0.045181487435485224,0.02446508542046777,2024-11,-0.10724010892199264
2024-11-05,221.49,5600686,220.03,221.96,220.0,-0.10349712620416085,-0.0754299549173485,2024-11,-0.10724010892199264
2024-11-04,219.78,8229588,222.65,223.76,219.17,-0.0077204388459976014,-0.08153286806803461,2024-11,-0.10724010892199264
2024-11-01,222.94,6923452,223.56,226.15,222.7,0.014378014378014337,-0.059245505949869104,2024-11,-0.10724010892199264
2024-10-31,221.92,7829932,224.7,225.69,221.82,-0.004575222032834003,-0.061172688044673906,2024-10,-0.0670511896178803
2024-10-30,224.41,7110941,222.54,226.31,221.58,0.011220259552992218,-0.0916781348660245,2024-10,-0.0670511896178803
2024-10-29,222.9,6580004,225.21,226.75,222.81,-0.006728755403056841,0.006365975890559428,2024-10,-0.0670511896178803
2024-10-28,225.5,6842956,223.35,225.64,222.95,0.01166442350829966,0.026026026026026106,2024-10,-0.0670511896178803
2024-10-25,222.31,6369720,225.0,225.62,220.875,-0.014146341463414647,-0.002825872432044463,2024-10,-0.0670511896178803
2024-10-24,224.98,6002202,221.83,225.06,221.66,0.01201025594890015,0.013788752703677076,2024-10,-0.0670511896178803
2024-10-23,223.41,6180528,223.66,224.7999,222.53,-0.006978398079829251,-0.004456129405997933,2024-10,-0.0670511896178803
2024-10-22,224.12,9586793,223.02,225.28,221.1,0.003178013517747713,0.005473306415432866,2024-10,-0.0670511896178803
2024-10-21,223.0,5869959,225.22,225.7,222.9,-0.004997322862752118,-0.011086474501108667,2024-10,-0.0670511896178803
2024-10-18,225.37,7000543,225.0,225.92,223.1,0.010627802690583055,0.01376456299761597,2024-10,-0.0670511896178803
2024-10-17,224.42,6470186,224.27,225.85,223.31,-0.0042152904113236245,-0.002489110143123807,2024-10,-0.0670511896178803
2024-10-16,223.64,6382515,222.33,223.68,221.04,-0.003475626058283554,0.0010294973367350746,2024-10,-0.0670511896178803
2024-10-15,222.39,9235825,223.66,225.45,221.82,-0.005589340010731525,-0.007719079064786749,2024-10,-0.0670511896178803
2024-10-14,221.48,9048925,223.2,223.7,218.88,-0.004091910607491367,-0.006816143497757943,2024-10,-0.0670511896178803
2024-10-11,222.29,18320650,215.67,224.6299,215.16,0.0036572150984288676,-0.013666415228291262,2024-10,-0.0670511896178803
2024-10-10,212.84,7927051,214.81,214.81,211.47,-0.04251203382968194,-0.05159967917297914,2024-10,-0.0670511896178803
2024-10-09,213.42,7023998,209.7,214.24,209.38,0.0027250516820145343,-0.04569844392774103,2024-10,-0.0670511896178803
2024-10-08,210.75,6021772,210.58,211.33,208.38,-0.01251054259207196,-0.052340482935383736,2024-10,-0.0670511896178803
2024-10-07,210.93,6718898,211.03,213.33,209.69,0.000854092526690442,-0.047634097886942284,2024-10,-0.0670511896178803
2024-10-04,211.22,10213420,209.3,211.67,206.91,0.0013748636988573093,-0.04979981105762743,2024-10,-0.0670511896178803
2024-10-03,205.23,7251325,206.17,206.49,204.34,-0.028359056907489855,-0.035754557414020005,2024-10,-0.0670511896178803
2024-10-02,207.29,5810931,207.08,208.95,205.69,0.010037518881255147,-0.028722706400524767,2024-10,-0.0670511896178803
2024-10-01,207.04,8540064,208.9,209.09,206.19,-0.001206039847556517,-0.017603795966785296,2024-10,-0.0670511896178803
2024-09-30,210.86,8668314,206.31,210.96,205.26,0.018450540958269146,-0.0003318636514483275,2024-09,0.04476904106990419
2024-09-27,210.5,7032450,210.65,212.44,209.33,-0.0017072939391066244,-0.003408768109080529,2024-09,0.04476904106990419
2024-09-26,209.78,7807480,211.13,211.7,209.01,-0.003420427553444183,0.0221702480144228,2024-09,0.04476904106990419
