Date,close,volume,open,high,low,daily_return,weekly_return,month,monthly_return
2024-12-13,73.62,7671173,73.05,73.75,72.94,,,2024-12,0.0468622656886714
2024-12-12,73.22,6969872,73.84,74.08,73.09,-0.005433306166802598,,2024-12,0.0468622656886714
2024-12-11,73.98,7472931,74.2,74.55,73.58,0.010379677683693078,,2024-12,0.0468622656886714
2024-12-10,74.14,8619649,74.5,74.52,73.35,0.0021627466882940816,,2024-12,0.0468622656886714
2024-12-09,74.7,9269802,75.5,75.63,74.56,0.007553277582951212,,2024-12,0.0468622656886714
2024-12-06,75.24,7079516,76.19,76.5,74.92,0.0072289156626506035,0.022004889975550057,2024-12,0.0468622656886714
2024-12-05,76.2,6487534,75.64,76.54,75.42,0.012759170653907637,0.04069926249658562,2024-12,0.0468622656886714
2024-12-04,75.74,8310426,76.0,76.02,75.1,-0.0060367454068243065,0.02379021357123534,2024-12,0.0468622656886714
2024-12-03,76.29,9806907,77.07,77.57,76.23,0.007261684710853089,0.028999190720259138,2024-12,0.0468622656886714
2024-12-02,77.07,11361510,78.92,79.05,76.895,0.010224144710971217,0.031726907630521994,2024-12,0.0468622656886714
2024-11-29,78.67,6186543,78.58,78.99,78.32,0.02076034773582469,0.04558745348219051,2024-11,-0.016778950044489732
2024-11-27,78.52,8689888,78.13,79.38,77.86,-0.0019066988686921027,0.0304461942257217,2024-11,-0.016778950044489732
2024-11-26,77.49,10563820,77.0,77.78,76.47,-0.013117677024961805,0.02310536044362288,2024-11,-0.016778950044489732
2024-11-25,76.64,20803130,76.73,77.1,75.83,-0.010969157310620647,0.004587757242102475,2024-11,-0.016778950044489732
2024-11-22,76.0,8165408,77.23,77.54,75.76,-0.008350730688935326,-0.013883482548332604,2024-11,-0.016778950044489732
2024-11-21,77.36,8908942,76.79,77.51,76.36,0.017894736842105186,-0.01665183678657689,2024-11,-0.016778950044489732
2024-11-20,76.88,7065237,77.19,77.5,76.36,-0.006204756980351611,-0.020886398369842074,2024-11,-0.016778950044489732
2024-11-19,77.08,7942453,76.31,77.32,75.72,0.002601456815816805,-0.005291005291005235,2024-11,-0.016778950044489732
2024-11-18,76.39,9044451,76.3,76.67,75.31,-0.00895173845355468,-0.003262004175365374,2024-11,-0.016778950044489732
2024-11-15,76.35,12930530,75.45,76.69,75.29,-0.000523628747218341,0.004605263157894557,2024-11,-0.016778950044489732
2024-11-14,75.28,13780490,73.88,76.18,73.65,-0.014014407334642986,-0.026887280248190204,2024-11,-0.016778950044489732
2024-11-13,74.24,12451790,74.63,75.035,73.92,-0.013815090329436841,-0.03433922996878258,2024-11,-0.016778950044489732
2024-11-12,74.26,12569790,75.61,75.8,73.62,0.0002693965517241992,-0.03658536585365846,2024-11,-0.016778950044489732
2024-11-11,75.91,10275680,76.98,77.15,75.74,0.022219229733369206,-0.006283544966618759,2024-11,-0.016778950044489732
2024-11-08,76.97,14657140,74.98,77.19,74.68,0.01396390462389685,0.008120497707924113,2024-11,-0.016778950044489732
2024-11-07,74.62,16311250,73.61,75.09,73.57,-0.030531375860724852,-0.008767268862911792,2024-11,-0.016778950044489732
2024-11-06,74.52,28637810,74.3,74.98,72.69,-0.0013401232913429206,0.0037715517241379004,2024-11,-0.016778950044489732
2024-11-05,78.65,9051659,77.77,78.785,76.97,0.05542136339237791,0.05911661729060058,2024-11,-0.016778950044489732
2024-11-04,78.37,11759140,77.35,78.82,77.1,-0.003560076287349001,0.032406797523383046,2024-11,-0.016778950044489732
2024-11-01,77.35,14615300,79.39,79.455,76.965,-0.013015184381778844,0.004936988437053369,2024-11,-0.016778950044489732
2024-10-31,79.25,13034690,78.39,79.8461,78.14,0.024563671622495287,0.06204770838917173,2024-10,0.07596214511041005
2024-10-30,79.09,11650480,79.75,79.89,78.89,-0.002018927444794927,0.061325818572195434,2024-10,0.07596214511041005
2024-10-29,79.56,19232880,79.95,80.7,79.47,0.0059425970413453655,0.01157024793388417,2024-10,0.07596214511041005
2024-10-28,82.87,8679617,82.04,83.84,81.61,0.041603821015585796,0.05741993109608279,2024-10,0.07596214511041005
2024-10-25,81.43,6581101,82.9,83.13,81.29,-0.017376613973693722,0.052747252747253004,2024-10,0.07596214511041005
2024-10-24,82.81,9705333,84.0,84.545,82.5,0.01694707110401561,0.04492113564668765,2024-10,0.07596214511041005
2024-10-23,84.96,10825060,84.59,86.0,83.0,0.02596304794106974,0.07421924389935497,2024-10,0.07596214511041005
2024-10-22,83.7,8358531,83.2,84.23,83.135,-0.01483050847457612,0.05203619909502266,2024-10,0.07596214511041005
2024-10-21,84.03,7053832,84.76,84.96,83.66,0.003942652329748997,0.013997827923253325,2024-10,0.07596214511041005
2024-10-18,84.38,8595305,83.92,84.41,83.55,0.004165179102701311,0.0362274346064102,2024-10,0.07596214511041005
2024-10-17,83.78,6153217,84.3,84.63,83.695,-0.00711068973690443,0.011713561164110597,2024-10,0.07596214511041005
